state;action_reward;n_state
286&5|258&1|894&1|750&5|1394&5|310&3|690&4|898&4|1105&3|304&3|1176&4|270&1;289&5|259&2|328&3|292&4;286&5|258&1|894&1|750&5|1394&5|310&3|690&4|898&4|1105&3|304&3|1176&4|270&1|289&5|259&2|328&3|292&4
260&3|742&4|24&4|271&3|206&4|82&4|1188&3|358&3|230&4|825&3|228&4|550&3;125&2|58&3|939&4|143&3;260&3|742&4|24&4|271&3|206&4|82&4|1188&3|358&3|230&4|825&3|228&4|550&3|125&2|58&3|939&4|143&3
313&5|300&4|258&3|678&3|295&4|289&3|294&4|13&2|895&3|323&4|288&4|149&3;123&2|222&3|276&3|181&4;313&5|300&4|258&3|678&3|295&4|289&3|294&4|13&2|895&3|323&4|288&4|149&3|123&2|222&3|276&3|181&4
292&2|127&4|269&5|683&3|332&3|116&2|327&4|515&5|242&5|286&4|294&1|268&2;301&3|690&3|995&1|309&1;292&2|127&4|269&5|683&3|332&3|116&2|327&4|515&5|242&5|286&4|294&1|268&2|301&3|690&3|995&1|309&1
275&5|95&4|83&5|496&5|286&2|4&1|97&1|237&5|189&5|707&4|588&5|111&4;477&5|762&2|294&4|892&5;275&5|95&4|83&5|496&5|286&2|4&1|97&1|237&5|189&5|707&4|588&5|111&4|477&5|762&2|294&4|892&5
496&4|79&4|209&3|137&2|168&4|661&3|423&2|195&4|288&3|748&3|294&4|50&5;69&4|318&4|1050&3|152&4;496&4|79&4|209&3|137&2|168&4|661&3|423&2|195&4|288&3|748&3|294&4|50&5|69&4|318&4|1050&3|152&4
161&3|429&4|1014&2|71&3|498&3|100&1|172&4|265&3|654&5|431&3|197&4|258&4;568&3|959&3|655&4|428&4;161&3|429&4|1014&2|71&3|498&3|100&1|172&4|265&3|654&5|431&3|197&4|258&4|568&3|959&3|655&4|428&4
499&5|702&1|265&3|1153&5|248&2|101&3|521&4|582&5|709&5|642&1|1134&4|401&5;651&4|1206&4|202&5|812&3;499&5|702&1|265&3|1153&5|248&2|101&3|521&4|582&5|709&5|642&1|1134&4|401&5|651&4|1206&4|202&5|812&3
181&3|1028&4|321&4|269&3|50&3|284&4|280&2|931&1|255&2|756&2|275&5|124&3;476&5|1023&2|1061&4|1190&2;181&3|1028&4|321&4|269&3|50&3|284&4|280&2|931&1|255&2|756&2|275&5|124&3|476&5|1023&2|1061&4|1190&2
205&4|97&3|523&4|772&1|285&4|291&4|651&3|192&3|479&3|86&3|83&4|1098&4;528&5|511&5|127&5|187&5;205&4|97&3|523&4|772&1|285&4|291&4|651&3|192&3|479&3|86&3|83&4|1098&4|528&5|511&5|127&5|187&5
326&3|294&4|271&2|300&4|319&3|258&3|286&5|288&4|938&1|748&3|332&3|322&3;1038&4|242&4|289&4|302&5;326&3|294&4|271&2|300&4|319&3|258&3|286&5|288&4|938&1|748&3|332&3|322&3|1038&4|242&4|289&4|302&5
164&4|5&2|444&2|448&5|637&4|48&5|100&5|7&4|218&3|558&4|185&2|200&1;201&3|184&3|567&5|447&4;164&4|5&2|444&2|448&5|637&4|48&5|100&5|7&4|218&3|558&4|185&2|200&1|201&3|184&3|567&5|447&4
286&4|270&3|328&3|294&4|690&4|879&3|289&1|312&2|300&4|307&4|326&2|347&2;323&2|322&4|748&3|678&3;286&4|270&3|328&3|294&4|690&4|879&3|289&1|312&2|300&4|307&4|326&2|347&2|323&2|322&4|748&3|678&3
295&3|50&3|118&3|148&3|100&5|508&3|596&2|246&4|325&2|298&4|123&5|288&3;978&2|925&3|370&4|286&3;295&3|50&3|118&3|148&3|100&5|508&3|596&2|246&4|325&2|298&4|123&5|288&3|978&2|925&3|370&4|286&3
318&4|428&4|275&4|257&2|272&3|328&4|451&2|181&3|638&4|634&1|1011&3|121&3;157&3|478&2|430&2|71&2;318&4|428&4|275&4|257&2|272&3|328&4|451&2|181&3|638&4|634&1|1011&3|121&3|157&3|478&2|430&2|71&2
1&1|181&5|1157&5|235&3|263&1|455&2|9&2|15&5|864&4|123&3|688&2|295&4;458&1|214&1|1163&2|1277&1;1&1|181&5|1157&5|235&3|263&1|455&2|9&2|15&5|864&4|123&3|688&2|295&4|458&1|214&1|1163&2|1277&1
286&4|748&2|882&3|352&3|340&2|289&1|269&5|898&3|886&2|538&3|258&2|328&3;272&4|315&4|690&4|905&4;286&4|748&2|882&3|352&3|340&2|289&1|269&5|898&3|886&2|538&3|258&2|328&3|272&4|315&4|690&4|905&4
690&3|331&4|307&3|306&4|1063&4|654&5|321&4|289&3|292&4|748&2|45&4|127&4;173&5|484&3|191&3|427&5;690&3|331&4|307&3|306&4|1063&4|654&5|321&4|289&3|292&4|748&2|45&4|127&4|173&5|484&3|191&3|427&5
243&1|312&2|751&3|242&4|300&2|302&4|539&3|347&3|272&4|258&3|313&4|327&5;309&5|343&3|1296&4|683&3;243&1|312&2|751&3|242&4|300&2|302&4|539&3|347&3|272&4|258&3|313&4|327&5|309&5|343&3|1296&4|683&3
864&4|1&4|257&3|172&5|178&5|191&4|69&5|237&3|293&3|100&3|50&5|121&3;150&3|471&4|222&3|111&4;864&4|1&4|257&3|172&5|178&5|191&4|69&5|237&3|293&3|100&3|50&5|121&3|150&3|471&4|222&3|111&4
223&5|597&4|742&4|275&4|751&4|1&4|292&5|222&4|457&2|181&4|476&3|405&4;25&4|127&4|300&4|864&4;223&5|597&4|742&4|275&4|751&4|1&4|292&5|222&4|457&2|181&4|476&3|405&4|25&4|127&4|300&4|864&4
541&3|50&4|109&4|40&4|161&4|181&4|228&5|249&4|172&4|227&4|229&3|222&4;165&1|25&3|449&2|450&2;541&3|50&4|109&4|40&4|161&4|181&4|228&5|249&4|172&4|227&4|229&3|222&4|165&1|25&3|449&2|450&2
4&3|89&5|144&5|197&3|525&4|12&5|466&4|182&5|517&2|509&2|302&4|175&2;674&5|672&3|234&5|423&2;4&3|89&5|144&5|197&3|525&4|12&5|466&4|182&5|517&2|509&2|302&4|175&2|674&5|672&3|234&5|423&2
259&4|268&4|300&5|245&5|315&5|272&5|338&4|288&4|313&5|332&4|894&4|896&4;303&3|326&3|344&3|305&3;259&4|268&4|300&5|245&5|315&5|272&5|338&4|288&4|313&5|332&4|894&4|896&4|303&3|326&3|344&3|305&3
123&4|595&3|157&4|1337&3|307&4|10&3|689&3|261&3|248&4|875&5|64&5|553&4;262&4|1013&2|1143&5|349&3;123&4|595&3|157&4|1337&3|307&4|10&3|689&3|261&3|248&4|875&5|64&5|553&4|262&4|1013&2|1143&5|349&3
456&3|196&4|284&4|173&4|393&3|511&4|951&3|1615&4|576&4|151&3|231&4|197&4;365&4|1222&3|1139&3|141&3;456&3|196&4|284&4|173&4|393&3|511&4|951&3|1615&4|576&4|151&3|231&4|197&4|365&4|1222&3|1139&3|141&3
608&4|182&2|1064&4|663&4|404&3|603&5|98&4|208&4|1020&4|168&3|289&2|435&3;143&3|1451&4|205&4|526&4;608&4|182&2|1064&4|663&4|404&3|603&5|98&4|208&4|1020&4|168&3|289&2|435&3|143&3|1451&4|205&4|526&4
304&3|56&3|662&5|1063&5|63&4|50&5|133&4|496&5|427&5|80&2|1115&5|483&4;54&2|755&4|82&4|501&3;304&3|56&3|662&5|1063&5|63&4|50&5|133&4|496&5|427&5|80&2|1115&5|483&4|54&2|755&4|82&4|501&3
436&4|1012&4|876&3|379&4|250&5|268&4|302&5|561&4|218&4|184&5|246&4|551&3;448&4|443&4|53&4|234&4;436&4|1012&4|876&3|379&4|250&5|268&4|302&5|561&4|218&4|184&5|246&4|551&3|448&4|443&4|53&4|234&4
124&5|174&4|50&5|181&3|1203&5|207&5|162&5|58&5|489&5|9&5|305&4|1098&5;632&5|208&3|421&5|116&5;124&5|174&4|50&5|181&3|1203&5|207&5|162&5|58&5|489&5|9&5|305&4|1098&5|632&5|208&3|421&5|116&5
521&4|648&3|604&4|229&3|510&3|519&4|514&4|739&2|228&3|705&4|265&3|65&4;393&3|712&3|605&3|674&3;521&4|648&3|604&4|229&3|510&3|519&4|514&4|739&2|228&3|705&4|265&3|65&4|393&3|712&3|605&3|674&3
274&4|163&4|174&5|151&4|144&4|91&2|15&4|755&3|419&4|7&5|542&3|603&4;496&4|380&4|222&4|523&4;274&4|163&4|174&5|151&4|144&4|91&2|15&4|755&3|419&4|7&5|542&3|603&4|496&4|380&4|222&4|523&4
83&4|79&3|477&3|257&4|201&3|134&5|252&3|527&4|1002&1|191&4|97&4|981&1;928&1|1091&2|1273&2|1095&2;83&4|79&3|477&3|257&4|201&3|134&5|252&3|527&4|1002&1|191&4|97&4|981&1|928&1|1091&2|1273&2|1095&2
240&3|991&3|225&3|245&3|405&4|1011&4|274&3|150&3|866&3|331&4|275&3|125&4;919&2|127&5|315&5|248&4;240&3|991&3|225&3|245&3|405&4|1011&4|274&3|150&3|866&3|331&4|275&3|125&4|919&2|127&5|315&5|248&4
134&5|488&5|649&5|55&3|30&3|451&3|47&4|566&3|42&4|469&5|293&5|151&4;404&4|1526&4|568&3|227&2;134&5|488&5|649&5|55&3|30&3|451&3|47&4|566&3|42&4|469&5|293&5|151&4|404&4|1526&4|568&3|227&2
455&4|83&4|127&2|568&4|144&5|181&5|720&3|174&5|685&3|578&4|229&2|228&4;523&3|8&4|208&4|168&3;455&4|83&4|127&2|568&4|144&5|181&5|720&3|174&5|685&3|578&4|229&2|228&4|523&3|8&4|208&4|168&3
122&3|1382&3|287&2|181&3|276&4|312&2|1134&1|1047&2|282&3|125&3|1163&2|25&2;100&5|253&4|1014&4|269&4;122&3|1382&3|287&2|181&3|276&4|312&2|1134&1|1047&2|282&3|125&3|1163&2|25&2|100&5|253&4|1014&4|269&4
355&3|249&1|255&2|294&5|898&2|1014&1|25&4|323&3|274&4|535&3|763&2|845&3;409&3|117&1|832&5|1&4;355&3|249&1|255&2|294&5|898&2|1014&1|25&4|323&3|274&4|535&3|763&2|845&3|409&3|117&1|832&5|1&4
260&1|496&4|484&4|258&5|135&5|216&4|705&5|198&4|735&5|238&5|328&3|170&5;559&2|781&3|160&4|1041&3;260&1|496&4|484&4|258&5|135&5|216&4|705&5|198&4|735&5|238&5|328&3|170&5|559&2|781&3|160&4|1041&3
317&4|357&4|480&5|528&4|124&3|64&3|187&5|197&5|180&5|100&4|192&4|205&3;646&4|77&2|22&3|11&2;317&4|357&4|480&5|528&4|124&3|64&3|187&5|197&5|180&5|100&4|192&4|205&3|646&4|77&2|22&3|11&2
890&2|326&4|150&5|879&4|181&5|237&3|1&3|332&5|248&5|1049&2|283&5|294&2;93&4|628&4|117&4|993&3;890&2|326&4|150&5|879&4|181&5|237&3|1&3|332&5|248&5|1049&2|283&5|294&2|93&4|628&4|117&4|993&3
349&2|938&3|887&3|1434&1|895&4|333&4|288&4|302&3|873&3|750&2|937&3|898&1;1127&3|1062&1|882&1|988&1;349&2|938&3|887&3|1434&1|895&4|333&4|288&4|302&3|873&3|750&2|937&3|898&1|1127&3|1062&1|882&1|988&1
118&3|294&3|405&4|471&4|1190&3|538&4|286&5|756&3|546&3|181&3|258&3|237&3;255&3|111&4|476&3|458&4;118&3|294&3|405&4|471&4|1190&3|538&4|286&5|756&3|546&3|181&3|258&3|237&3|255&3|111&4|476&3|458&4
960&4|210&4|198&3|490&4|246&5|223&5|98&4|1084&4|462&4|123&4|603&5|663&2;823&1|70&4|354&3|249&4;960&4|210&4|198&3|490&4|246&5|223&5|98&4|1084&4|462&4|123&4|603&5|663&2|823&1|70&4|354&3|249&4
257&2|1073&2|479&4|472&1|740&4|743&1|1540&2|421&1|475&4|201&5|820&1|196&3;673&1|230&4|179&5|588&3;257&2|1073&2|479&4|472&1|740&4|743&1|1540&2|421&1|475&4|201&5|820&1|196&3|673&1|230&4|179&5|588&3
423&4|367&1|235&4|202&3|186&4|258&5|201&2|222&5|694&5|735&4|403&3|156&5;660&5|1046&2|53&5|356&3;423&4|367&1|235&4|202&3|186&4|258&5|201&2|222&5|694&5|735&4|403&3|156&5|660&5|1046&2|53&5|356&3
255&3|282&4|471&4|473&3|1&3|285&4|405&3|591&3|879&2|278&3|1014&2|751&2;9&5|535&4|150&5|476&5;255&3|282&4|471&4|473&3|1&3|285&4|405&3|591&3|879&2|278&3|1014&2|751&2|9&5|535&4|150&5|476&5
302&5|270&5|300&5|984&5|292&5|361&5|938&5|326&5|333&5|1296&5|332&5|301&4;294&4|173&3|168&4|845&5;302&5|270&5|300&5|984&5|292&5|361&5|938&5|326&5|333&5|1296&5|332&5|301&4|294&4|173&3|168&4|845&5
292&5|288&2|332&5|242&5|690&4|259&2|310&4|990&5|294&1|324&5|898&5|329&5;899&5|245&4|299&5|289&1;292&5|288&2|332&5|242&5|690&4|259&2|310&4|990&5|294&1|324&5|898&5|329&5|899&5|245&4|299&5|289&1
435&3|522&3|79&2|172&3|200&3|62&3|233&3|675&3|403&3|432&3|301&3|810&2;792&3|655&3|1052&2|411&2;435&3|522&3|79&2|172&3|200&3|62&3|233&3|675&3|403&3|432&3|301&3|810&2|792&3|655&3|1052&2|411&2
237&2|410&3|25&1|281&3|7&2|100&5|289&2|546&1|288&2|126&4|117&3|1142&3;756&4|411&3|871&2|405&2;237&2|410&3|25&1|281&3|7&2|100&5|289&2|546&1|288&2|126&4|117&3|1142&3|756&4|411&3|871&2|405&2
148&3|744&4|282&4|286&5|9&4|127&4|25&5|245&3|50&4|515&5|405&4|924&4;508&2|118&2|546&2|827&2;148&3|744&4|282&4|286&5|9&4|127&4|25&5|245&3|50&4|515&5|405&4|924&4|508&2|118&2|546&2|827&2
298&3|7&2|274&3|150&5|411&3|248&4|117&4|93&2|121&4|1047&5|620&4|123&3;258&4|763&5|405&4|15&4;298&3|7&2|274&3|150&5|411&3|248&4|117&4|93&2|121&4|1047&5|620&4|123&3|258&4|763&5|405&4|15&4
300&3|990&5|270&5|334&5|682&4|288&3|881&4|319&2|326&5|258&3|313&5|333&4;882&5|322&4|1105&5|362&5;300&3|990&5|270&5|334&5|682&4|288&3|881&4|319&2|326&5|258&3|313&5|333&4|882&5|322&4|1105&5|362&5
472&4|50&5|250&3|118&4|117&5|257&4|685&4|181&5|121&5|546&4|258&4|763&3;210&5|252&5|739&5|435&5;472&4|50&5|250&3|118&4|117&5|257&4|685&4|181&5|121&5|546&4|258&4|763&3|210&5|252&5|739&5|435&5
756&4|175&4|429&3|647&5|611&4|197&5|705&4|97&3|414&4|8&5|644&4|645&3;199&4|443&5|493&5|428&4;756&4|175&4|429&3|647&5|611&4|197&5|705&4|97&3|414&4|8&5|644&4|645&3|199&4|443&5|493&5|428&4
257&3|176&4|210&4|393&3|473&3|450&3|164&4|826&2|101&4|95&3|300&4|435&3;416&3|162&3|142&2|630&3;257&3|176&4|210&4|393&3|473&3|450&3|164&4|826&2|101&4|95&3|300&4|435&3|416&3|162&3|142&2|630&3
258&3|63&3|222&2|1149&5|234&3|71&3|135&2|1240&4|554&1|403&2|159&4|591&4;1060&4|919&5|55&5|753&2;258&3|63&3|222&2|1149&5|234&3|71&3|135&2|1240&4|554&1|403&2|159&4|591&4|1060&4|919&5|55&5|753&2
990&5|258&4|331&4|881&5|1265&5|1296&5|681&5|938&5|300&4|359&5|328&4|268&5;680&5|289&5|334&5|245&5;990&5|258&4|331&4|881&5|1265&5|1296&5|681&5|938&5|300&4|359&5|328&4|268&5|680&5|289&5|334&5|245&5
4&4|114&5|546&4|616&5|568&1|433&5|936&4|303&4|882&3|132&5|631&5|347&1;906&4|223&5|855&5|879&4;4&4|114&5|546&4|616&5|568&1|433&5|936&4|303&4|882&3|132&5|631&5|347&1|906&4|223&5|855&5|879&4
294&4|741&5|273&5|544&4|762&4|9&4|50&5|333&5|276&5|322&4|282&4|3&4;866&4|823&4|105&4|460&4;294&4|741&5|273&5|544&4|762&4|9&4|50&5|333&5|276&5|322&4|282&4|3&4|866&4|823&4|105&4|460&4
39&4|475&5|532&4|448&3|61&4|1&4|781&3|584&1|988&3|742&3|930&3|405&4;313&3|111&4|298&4|94&2;39&4|475&5|532&4|448&3|61&4|1&4|781&3|584&1|988&3|742&3|930&3|405&4|313&3|111&4|298&4|94&2
655&3|148&3|603&3|210&4|479&3|132&4|50&5|184&3|485&1|705&1|134&2|181&5;172&5|679&3|64&4|83&5;655&3|148&3|603&3|210&4|479&3|132&4|50&5|184&3|485&1|705&1|134&2|181&5|172&5|679&3|64&4|83&5
71&5|385&3|50&5|96&5|258&3|710&3|17&3|679&2|194&3|161&4|751&3|944&4;378&3|419&3|404&4|196&4;71&5|385&3|50&5|96&5|258&3|710&3|17&3|679&2|194&3|161&4|751&3|944&4|378&3|419&3|404&4|196&4
268&5|338&2|514&5|186&4|243&1|147&1|169&5|350&4|895&4|288&3|124&4|362&3;55&2|89&3|42&4|463&3;268&5|338&2|514&5|186&4|243&1|147&1|169&5|350&4|895&4|288&3|124&4|362&3|55&2|89&3|42&4|463&3
390&1|427&5|497&3|22&4|511&4|56&2|294&1|195&4|193&4|484&4|114&3|175&3;238&4|631&4|423&4|42&3;390&1|427&5|497&3|22&4|511&4|56&2|294&1|195&4|193&4|484&4|114&3|175&3|238&4|631&4|423&4|42&3
654&4|47&3|430&5|325&1|530&4|469&4|137&5|180&4|50&5|525&5|93&4|511&4;771&1|99&5|961&4|554&1;654&4|47&3|430&5|325&1|530&4|469&4|137&5|180&4|50&5|525&5|93&4|511&4|771&1|99&5|961&4|554&1
323&3|333&4|294&2|259&2|984&2|282&4|300&4|288&2|538&4|328&4|748&3|245&4;699&5|96&4|125&2|395&3;323&3|333&4|294&2|259&2|984&2|282&4|300&4|288&2|538&4|328&4|748&3|245&4|699&5|96&4|125&2|395&3
9&3|220&4|535&1|25&3|277&2|285&4|286&4|151&5|13&4|596&3|222&3|284&1;280&2|278&3|717&1|1049&1;9&3|220&4|535&1|25&3|277&2|285&4|286&4|151&5|13&4|596&3|222&3|284&1|280&2|278&3|717&1|1049&1
22&2|283&1|186&5|98&5|179&3|100&4|589&4|176&5|168&4|187&3|198&5|474&2;249&4|928&3|235&3|121&2;22&2|283&1|186&5|98&5|179&3|100&4|589&4|176&5|168&4|187&3|198&5|474&2|249&4|928&3|235&3|121&2
115&1|688&2|286&4|310&3|969&1|1&1|292&4|333&5|1346&4|127&4|304&4|258&2;151&2|15&4|1084&5|14&4;115&1|688&2|286&4|310&3|969&1|1&1|292&4|333&5|1346&4|127&4|304&4|258&2|151&2|15&4|1084&5|14&4
659&4|930&5|98&1|1517&4|254&5|168&4|181&5|949&3|781&2|202&2|926&4|944&4;432&4|1285&3|769&2|29&4;659&4|930&5|98&1|1517&4|254&5|168&4|181&5|949&3|781&2|202&2|926&4|944&4|432&4|1285&3|769&2|29&4
475&5|100&2|288&4|125&2|325&1|324&5|246&3|9&4|1084&5|547&4|286&2|508&5;823&3|253&5|1008&5|123&4;475&5|100&2|288&4|125&2|325&1|324&5|246&3|9&4|1084&5|547&4|286&2|508&5|823&3|253&5|1008&5|123&4
671&5|185&5|143&2|878&1|475&3|91&2|9&5|427&4|283&4|22&5|187&5|238&5;433&4|429&5|202&3|655&3;671&5|185&5|143&2|878&1|475&3|91&2|9&5|427&4|283&4|22&5|187&5|238&5|433&4|429&5|202&3|655&3
190&4|150&3|435&3|100&3|480&5|12&4|258&2|237&2|212&3|302&3|1426&3|475&3;59&4|229&2|449&3|53&4;190&4|150&3|435&3|100&3|480&5|12&4|258&2|237&2|212&3|302&3|1426&3|475&3|59&4|229&2|449&3|53&4
307&1|682&4|326&1|304&5|877&4|294&5|339&5|268&1|310&5|895&5|751&4|313&5;879&4|892&4|678&4|689&4;307&1|682&4|326&1|304&5|877&4|294&5|339&5|268&1|310&5|895&5|751&4|313&5|879&4|892&4|678&4|689&4
930&2|748&4|1016&4|475&2|111&4|282&5|284&3|864&3|833&4|932&3|844&2|168&3;173&5|257&5|11&3|496&4;930&2|748&4|1016&4|475&2|111&4|282&5|284&3|864&3|833&4|932&3|844&2|168&3|173&5|257&5|11&3|496&4
132&5|416&3|71&4|200&1|392&4|50&4|82&4|157&5|328&4|684&5|203&3|170&4;242&5|4&5|88&5|318&5;132&5|416&3|71&4|200&1|392&4|50&4|82&4|157&5|328&4|684&5|203&3|170&4|242&5|4&5|88&5|318&5
251&5|127&5|249&2|14&3|906&2|50&5|1086&4|293&4|813&5|1&5|286&2|181&4;688&1|258&2|242&4|1105&2;251&5|127&5|249&2|14&3|906&2|50&5|1086&4|293&4|813&5|1&5|286&2|181&4|688&1|258&2|242&4|1105&2
527&5|526&5|118&4|842&4|282&4|511&4|402&3|479&5|127&5|318&5|91&2|523&4;546&3|152&3|88&5|866&3;527&5|526&5|118&4|842&4|282&4|511&4|402&3|479&5|127&5|318&5|91&2|523&4|546&3|152&3|88&5|866&3
56&3|288&3|751&4|419&5|70&4|275&4|294&1|162&5|378&5|71&4|352&1|272&4;135&3|527&4|153&5|427&5;56&3|288&3|751&4|419&5|70&4|275&4|294&1|162&5|378&5|71&4|352&1|272&4|135&3|527&4|153&5|427&5
100&4|181&5|283&4|1&4|50&5|222&3|301&4|284&3|885&2|988&3|117&3|275&5;1014&3|597&2|742&4|151&5;100&4|181&5|283&4|1&4|50&5|222&3|301&4|284&3|885&2|988&3|117&3|275&5|1014&3|597&2|742&4|151&5
683&3|288&2|268&4|321&4|324&3|286&3|262&5|292&4|289&4|303&4|307&4|305&5;1022&3|995&3|323&2|327&4;683&3|288&2|268&4|321&4|324&3|286&3|262&5|292&4|289&4|303&4|307&4|305&5|1022&3|995&3|323&2|327&4
332&3|1429&1|1175&1|1176&1|262&1|683&1|1022&1|749&2|269&4|990&1|1233&1|682&3;361&1|1395&1|302&5|242&3;332&3|1429&1|1175&1|1176&1|262&1|683&1|1022&1|749&2|269&4|990&1|1233&1|682&3|361&1|1395&1|302&5|242&3
588&2|433&4|173&5|89&5|480&4|894&1|127&5|100&4|154&5|650&3|479&5|156&4;288&3|202&2|748&2|683&2;588&2|433&4|173&5|89&5|480&4|894&1|127&5|100&4|154&5|650&3|479&5|156&4|288&3|202&2|748&2|683&2
511&4|576&2|570&3|222&1|227&1|820&1|71&4|660&3|655&5|509&3|188&4|366&2;51&4|629&3|941&2|1409&2;511&4|576&2|570&3|222&1|227&1|820&1|71&4|660&3|655&5|509&3|188&4|366&2|51&4|629&3|941&2|1409&2
687&2|288&3|319&2|289&2|268&4|304&3|322&4|321&2|259&4|243&1|325&4|292&3;991&3|989&2|678&3|245&2;687&2|288&3|319&2|289&2|268&4|304&3|322&4|321&2|259&4|243&1|325&4|292&3|991&3|989&2|678&3|245&2
751&3|286&4|750&5|312&3|325&1|332&4|340&5|271&3|300&4|875&4|327&5|245&4;313&5|872&5|346&5|264&5;751&3|286&4|750&5|312&3|325&1|332&4|340&5|271&3|300&4|875&4|327&5|245&4|313&5|872&5|346&5|264&5
773&3|443&4|288&4|302&5|566&4|684&4|233&4|185&5|39&3|234&5|573&4|603&4;44&3|1046&2|583&2|356&4;773&3|443&4|288&4|302&5|566&4|684&4|233&4|185&5|39&3|234&5|573&4|603&4|44&3|1046&2|583&2|356&4
411&3|234&4|255&4|197&5|50&5|204&5|65&4|99&4|792&3|135&5|392&3|176&4;447&5|44&3|953&3|94&4;411&3|234&4|255&4|197&5|50&5|204&5|65&4|99&4|792&3|135&5|392&3|176&4|447&5|44&3|953&3|94&4
427&4|385&4|417&5|720&4|118&3|648&4|209&5|449&4|174&4|561&5|173&5|25&5;91&5|497&5|435&5|386&4;427&4|385&4|417&5|720&4|118&3|648&4|209&5|449&4|174&4|561&5|173&5|25&5|91&5|497&5|435&5|386&4
222&2|1171&3|476&4|301&4|1137&3|300&4|9&5|1010&2|124&5|286&4|100&3|813&4;284&3|277&1|924&1|13&4;222&2|1171&3|476&4|301&4|1137&3|300&4|9&5|1010&2|124&5|286&4|100&3|813&4|284&3|277&1|924&1|13&4
315&3|347&5|313&5|984&5|294&3|322&5|346&1|323&5|748&2|751&4|300&5|687&1;243&3|343&4|894&4|688&3;315&3|347&5|313&5|984&5|294&3|322&5|346&1|323&5|748&2|751&4|300&5|687&1|243&3|343&4|894&4|688&3
121&5|820&4|432&5|64&5|1117&4|566&3|98&5|265&5|176&5|185&5|222&5|10&5;181&5|357&3|92&5|175&5;121&5|820&4|432&5|64&5|1117&4|566&3|98&5|265&5|176&5|185&5|222&5|10&5|181&5|357&3|92&5|175&5
697&5|147&4|237&5|655&5|213&5|111&5|257&4|11&5|12&3|1261&4|741&4|332&4;1160&5|550&4|471&4|299&4;697&5|147&4|237&5|655&5|213&5|111&5|257&4|11&5|12&3|1261&4|741&4|332&4|1160&5|550&4|471&4|299&4
461&3|318&4|724&3|116&4|77&3|14&3|1197&4|737&3|1&4|162&4|531&4|1368&2;8&5|306&4|1281&5|86&5;461&3|318&4|724&3|116&4|77&3|14&3|1197&4|737&3|1&4|162&4|531&4|1368&2|8&5|306&4|1281&5|86&5
331&2|288&4|682&4|259&3|271&3|294&2|1280&4|340&1|292&4|748&2|334&3|326&2;330&1|245&3|1025&4|264&3;331&2|288&4|682&4|259&3|271&3|294&2|1280&4|340&1|292&4|748&2|334&3|326&2|330&1|245&3|1025&4|264&3
300&3|248&3|895&2|307&3|299&3|872&3|758&1|840&1|65&2|221&4|195&4|1257&1;56&5|355&2|751&3|903&2;300&3|248&3|895&2|307&3|299&3|872&3|758&1|840&1|65&2|221&4|195&4|1257&1|56&5|355&2|751&3|903&2
45&5|10&3|294&3|584&5|740&4|286&4|14&4|736&4|319&5|179&1|305&4|242&5;1009&5|547&4|1148&3|20&4;45&5|10&3|294&3|584&5|740&4|286&4|14&4|736&4|319&5|179&1|305&4|242&5|1009&5|547&4|1148&3|20&4
289&4|476&3|25&3|269&3|327&1|298&3|257&4|294&3|1160&5|288&4|301&5|880&5;871&3|411&4|412&4|237&5;289&4|476&3|25&3|269&3|327&1|298&3|257&4|294&3|1160&5|288&4|301&5|880&5|871&3|411&4|412&4|237&5
286&4|313&3|137&4|127&5|124&4|340&3|285&4|676&3|302&5|150&4|20&3|306&4;654&5|514&5|197&4|357&5;286&4|313&3|137&4|127&5|124&4|340&3|285&4|676&3|302&5|150&4|20&3|306&4|654&5|514&5|197&4|357&5
771&2|1414&2|271&4|413&3|877&3|235&3|753&3|1228&1|797&3|921&3|982&2|273&4;152&3|264&3|421&4|496&4;771&2|1414&2|271&4|413&3|877&3|235&3|753&3|1228&1|797&3|921&3|982&2|273&4|152&3|264&3|421&4|496&4
662&3|48&4|56&4|194&4|1041&2|238&5|211&4|514&4|393&4|466&3|70&4|1111&4;235&3|237&3|740&4|381&4;662&3|48&4|56&4|194&4|1041&2|238&5|211&4|514&4|393&4|466&3|70&4|1111&4|235&3|237&3|740&4|381&4
245&3|333&5|340&5|307&3|258&5|358&1|294&5|313&4|286&5|687&3|948&1|309&5;39&1|644&3|748&4|12&5;245&3|333&5|340&5|307&3|258&5|358&1|294&5|313&4|286&5|687&3|948&1|309&5|39&1|644&3|748&4|12&5
619&3|1016&5|255&4|11&5|174&5|595&4|866&2|89&5|173&5|222&4|451&5|370&2;234&5|728&4|974&4|230&5;619&3|1016&5|255&4|11&5|174&5|595&4|866&2|89&5|173&5|222&4|451&5|370&2|234&5|728&4|974&4|230&5
226&3|741&4|1042&3|96&4|382&4|200&3|25&4|771&4|381&3|56&4|288&2|24&4;225&3|465&3|63&3|1415&2;226&3|741&4|1042&3|96&4|382&4|200&3|25&4|771&4|381&3|56&4|288&2|24&4|225&3|465&3|63&3|1415&2
243&2|873&2|895&2|328&3|876&3|748&3|294&4|323&3|245&3|288&3|307&4|286&3;50&3|471&4|181&3|322&3;243&2|873&2|895&2|328&3|876&3|748&3|294&4|323&3|245&3|288&3|307&4|286&3|50&3|471&4|181&3|322&3
