item_id;vectors
427;-0.33760548|0.8647603|-0.024946362|0.7333875|-0.6013012|-0.41457304|0.20348439|-0.17779142|-0.17654136|-0.22955625|-0.20865786|-0.05049056|0.9235712|0.30448908|0.7495077|0.2026582|0.13987394|0.28101274|0.2775873|0.59089816|0.1854663|-0.38001978|0.07766442|-0.22672492|-0.6564763|0.3797226|-0.14993528|-0.31870133|0.33152848|-0.09337625|0.49697113|0.09981099|0.8886794|-0.060638487|-0.14693937|0.4097448|-0.35606045|0.17123744|0.007600844|-0.79103136|0.102348834|0.6954987|0.32010826|-0.20530094|0.36799812|-0.12400435|-0.061047584|-0.3739546|-0.18745571|0.60787475|0.5849521|-0.54397285|-0.025773004|-0.14198287|-0.19673267|0.21738562|-1.1837645|-0.15219562|0.06853148|0.60311127|-1.0351999|-0.14616308|-0.69907355|0.10971093|0.35861033|-0.13038974|0.18250419|0.13899449|-0.20299907|0.32826215|0.3220513|-0.4835855|-0.26916626|0.03590101|0.27948594|-0.869421|-0.5218789|-0.5064581|0.30330905|-1.1511393|0.44236702|-0.51976246|-0.46518284|-0.06631884|-0.617086|0.21654618|0.12194088|-0.23500738|-0.22582325|0.44939354|-0.57392573|-0.052900657|0.60848886|-0.63745296|0.011910379|-0.31174695|0.7317678|0.28131285|-0.37142187|0.010119796
428;-0.4460538|0.4906222|0.4359092|0.6808861|-0.6233058|0.2184296|-0.3089519|-0.57912797|0.42449743|-0.07393168|-0.3185091|0.33229148|0.31821036|-0.5217201|0.051838085|0.15734455|-0.6669448|0.7895385|0.59472483|0.64573306|0.040913817|-0.8059801|0.734815|-0.82254744|-0.35631007|-0.05210732|-0.1285738|-0.19394709|-0.41965675|-0.12151031|-0.09304948|0.61652553|0.5238736|-0.59792066|0.02456742|0.5433101|-0.5756393|0.5485098|0.6211328|-0.90076506|-0.057553336|0.5282713|-0.015206069|-0.4210328|0.21746129|-0.19933416|-0.49174064|-0.063295394|0.38396543|0.4456188|0.3400403|-0.39067575|-0.22311944|0.12002513|-0.7558135|0.61956483|-0.592209|-0.1650862|-0.14289898|0.1812334|-0.5938939|0.08507246|-0.5742768|0.20301265|0.0038858056|-0.50162596|-0.1774512|-0.38656256|-0.029847622|-0.43940243|0.46435735|-0.63427603|0.06975387|0.21427298|0.6256009|-0.048499197|-0.19156186|-0.9557347|0.03545636|-0.7062919|0.42329937|-0.29318258|-0.8046305|0.48866156|-0.8424315|-0.29581794|-0.2777316|-0.016321808|-0.060477257|-0.14470606|-0.23369448|0.34302068|0.42175257|-0.37690023|0.41925865|-0.20298913|0.32424968|0.13822794|-0.46106577|0.065438956
429;-0.16862798|0.12823763|0.13455454|0.38177085|0.103654206|-0.02143211|-0.48904318|-0.09810494|0.5826126|-0.5363306|-0.6043104|0.18774123|0.27563334|-0.016169533|-0.63331676|0.48718655|-0.26483613|0.03320223|0.609481|0.44526517|0.23641656|-0.75905997|0.4119882|-0.52833784|-0.38091937|-0.1506256|-0.4689281|-0.098878|-0.261335|0.22903273|-0.08228694|-0.04897885|0.9684174|-0.4704001|-0.21726172|-0.3005626|0.103132114|0.017692626|-0.13071473|-0.11931524|0.39437363|-0.06396085|-0.5745364|-0.16564026|0.4407993|0.39129442|-0.5617101|-0.2053009|0.29859707|0.7721455|-0.08210766|-0.33826405|-0.08992876|-0.8156663|-0.47735405|0.060419217|-0.3765856|-0.114163816|-0.23038977|0.2654917|-0.8176858|-0.10743961|-0.074935794|-0.009159043|-0.5473407|-0.30881572|0.055977643|-0.16413647|-0.9165323|-0.24349335|0.3045238|-0.18837449|0.13328804|-0.6475862|0.5125182|0.008186668|-0.4697883|-0.51689935|-0.46563947|-0.44857994|0.6372482|-0.6959302|-0.48409158|0.4926963|-0.9535229|-0.738318|-0.16078344|0.2145307|0.13590431|-0.24816556|-0.6727433|0.38918886|0.3609401|-0.29769433|-0.12286256|-0.57194424|-0.002307713|0.6646043|-0.26711634|-0.17856489
430;0.33925506|1.1804423|-0.1819902|0.42289606|-0.2684021|-0.024029903|0.09448859|0.2310788|0.3480035|-0.37387455|-0.22849852|0.14333329|0.7999302|0.24671559|0.55421746|-0.28551376|-0.42183173|0.35158598|0.41691995|0.03136965|-0.107850656|-0.16304252|0.98626506|-0.360865|0.28526795|0.52373576|-0.5767293|-0.019231007|-0.5510191|-0.00782308|0.013870835|0.19566232|0.640813|-0.16110453|0.17499977|0.3431744|-0.19688809|0.0837374|0.81073207|-0.42626643|0.20007265|-0.26187354|0.25633532|-0.4060111|0.41686046|0.1826263|0.2091054|-0.5138747|0.64581203|0.030439049|0.16001663|-0.6480329|-0.57773346|-0.4911364|-0.55744886|0.019414537|-0.489393|-0.1469227|-0.2581301|0.24309032|-0.018639147|-0.77740717|-0.47810048|0.17169003|-0.50841045|-0.52557117|0.526133|0.06687263|-0.032611102|0.062312394|0.46468613|-0.6844431|-0.16621599|0.33635065|0.67811036|-0.29689422|-0.41990846|-0.0995211|-0.36220834|-0.326249|0.6047269|-0.40305316|0.022773892|0.42722726|-0.73677045|-0.37620768|-0.24867305|0.37988|-0.09736681|-0.04316002|-0.9711487|0.8120018|0.18257299|-0.46651486|-0.32132608|0.09763417|-0.07128185|0.34752646|-0.37132052|0.006850451
431;0.34338197|0.19978635|-0.1435971|0.35471925|-0.48731905|-0.5240553|-0.14176205|0.33006954|0.8376177|-0.6409023|-0.41803032|0.5694862|0.9340093|-0.46939164|-0.048309714|0.52446747|-0.3574434|-0.057623714|0.46117872|-0.036206957|-0.0073854774|-0.53077|0.37301728|-0.45627514|0.18743274|0.14594895|-0.30348596|-0.0010457486|0.081772625|-0.08816743|0.39961642|0.05749935|0.42818502|-0.0063152313|-0.18072759|0.22512498|0.031967804|0.4992224|0.3260995|-0.23590714|0.76075935|0.18676764|0.30002862|-0.7755486|0.9790858|0.39717817|0.37025228|0.04445845|0.6972362|0.008611798|0.007030055|-0.37858948|-0.19415689|0.019842178|0.47269094|0.1561602|-0.7372338|0.5190088|-0.42352128|0.23757239|-0.58452964|-0.28942984|-0.21612972|0.29802483|-0.20365787|-0.038944066|0.0926449|0.073229164|-0.1308867|-0.017088033|0.47909054|-0.84820366|-0.3394282|-0.074352294|-0.39651427|-0.39823323|-0.55675495|-0.3457939|-0.21202597|-0.6021179|0.031324983|-0.35334387|-0.11244625|0.41622174|-0.63255167|-0.50616825|-0.5032525|-0.95125157|-0.5268127|-0.59009963|-0.44015667|0.19466381|0.19526583|-0.61360455|0.17896865|0.19325352|0.47121477|0.21608205|-0.10371709|-0.03810379
432;0.12578693|0.28112277|0.30567628|0.35891205|-0.36694837|-0.0050601214|-0.1969535|0.20802277|0.79618335|-0.35727173|0.22643983|-0.11378041|0.37485632|-0.27396697|0.33465952|0.60116947|-0.7819945|0.7025031|0.48367274|0.44380254|-0.0029600337|-0.3415138|0.049598455|0.10177556|0.07843408|-0.049343437|-0.08232861|-0.2189647|-0.5922039|-0.5385959|-0.11997791|0.038501292|0.5482321|-0.31834066|0.17599307|-0.16543618|-0.010814123|-0.30706033|0.11986883|-0.25358814|-0.11260297|0.28529602|-0.3901856|-0.020673394|0.69459105|0.8499829|-0.38477767|-0.6371609|0.26827213|0.62844396|0.06887649|-0.6181025|-0.4119476|0.06805137|-0.81570697|-0.6877971|-0.082182705|-0.30669364|-0.52865267|0.22040924|-0.86176616|-0.46488073|-0.10683493|-0.35976863|-0.23534417|0.12758166|0.3686171|-0.2667627|-0.108842045|0.23464307|0.73788255|-0.58638996|-0.00950712|0.048616737|0.10419911|-0.89636946|0.3534947|-0.0989759|-0.18934596|-0.9159229|-0.19423541|-0.83625126|-0.5425938|0.20428178|-0.6363178|-0.4010377|0.16921207|-0.028958708|-0.122956306|-0.046764888|-0.14063635|0.39474398|0.05308786|-0.42416543|-0.11320086|-0.32645947|0.19793919|0.33485863|-0.48613518|0.15690342
433;-0.43895334|0.17962702|0.006384626|0.66227174|-0.40864816|0.07165646|-0.3532221|-0.20363104|0.91308975|-0.7420067|-0.2866632|0.42374977|-0.035200506|-0.26817298|-0.21464318|0.12591061|-0.5338202|0.18874478|0.36724156|0.11435667|0.45912987|-0.78845453|0.31682864|-0.3702197|-0.6128564|-0.109477684|-0.41883332|-0.4223249|-0.30115682|-0.3739882|0.252196|0.12518707|0.44394314|-0.187909|-0.08752465|0.24385233|0.012490563|0.8104079|-0.059115008|-0.056851566|0.05679594|0.24199247|0.20235878|-0.30474275|0.3098376|0.6484899|0.11299953|0.22002965|0.23572014|0.43738443|0.3533051|-0.83439|-0.10814456|-0.44055822|-0.43975133|0.10010237|-0.63575935|-0.028975245|-0.3424122|0.51819664|-0.4091787|-0.3414135|-0.087322816|0.20920949|-0.08057414|-0.36163756|-0.11997274|-0.010904044|-0.33719984|-0.13476501|0.6077427|-0.60469866|0.40507182|-0.9094217|0.46633065|-0.77430475|-0.38438395|0.008182049|-0.4155669|-0.37282085|0.37119672|-0.23156708|-0.17874707|0.06420016|-0.7989371|-0.26438156|0.00013536215|-0.4916771|-0.023720741|-0.13632989|-0.06376362|0.37573445|0.31218362|-0.97131276|0.04042004|-0.55924|0.36128718|0.2005324|0.0667164|-0.25677842
434;0.30293456|0.3391046|-0.30043706|0.76785505|0.10807121|0.12687318|-0.32695344|0.20290321|0.015030265|-0.23259783|0.21203908|0.112588376|0.2920131|-0.13915269|-0.22529525|0.23747112|-0.79392|0.8493898|0.4431954|0.02162715|0.22444159|-0.95632255|-0.07526314|-0.3648796|0.32698184|0.657711|0.26642916|-0.025856644|-0.5781305|-0.20818998|0.40131402|-0.067677855|0.9666462|-0.1879994|0.30804765|0.18869314|-0.280671|0.8848494|0.36029726|-0.7675149|0.06399338|0.30142367|-0.068797775|-0.31982023|0.6627717|0.3077716|-0.43665636|-0.39816636|-0.13725322|0.18905061|0.18810126|-0.32873106|0.32443997|-0.47268143|-0.87440985|-0.02329839|-1.0845213|0.19597797|-0.808849|0.82579327|-0.12971312|-0.4733761|-0.00598526|0.44742888|-0.19457632|-0.999322|0.8053136|-0.17695752|0.05522397|0.62961817|0.46001333|-0.27945048|0.16387388|-0.59579945|-0.09779233|-0.12576786|0.060951754|-0.8420856|0.15702999|-1.0289675|0.348948|-0.0014247298|-0.2521401|0.49278516|-0.94165254|-0.65908706|-0.35995537|0.12631378|-0.63941664|0.31130582|-0.02427277|0.6418637|0.3131193|-0.3398373|0.8725392|-0.52124584|-0.031527966|0.31644356|0.013664544|-0.5448407
435;-0.4317278|0.6132165|-0.28723034|0.31793714|-0.31855655|-0.2847866|-0.31216192|0.08696491|0.748119|-0.10416983|-0.34606078|0.016685873|0.77018976|-0.6298734|-0.5043515|-0.14703438|-0.112887785|0.66758114|0.82071376|-0.2889536|0.33604103|-0.887718|-0.09729391|-0.21048675|-0.49741545|-0.04753211|-0.6270803|-0.07614344|-0.55916154|-0.5568025|0.3096239|0.4288485|0.609997|-0.10152333|0.55395997|0.62855387|-0.14049365|0.38211477|-0.30128092|-0.25422874|-0.13296103|0.05371286|-0.08257641|-0.07149172|0.94056547|-0.1872419|-0.07342309|-0.792881|0.20678204|0.5613598|0.022313565|-0.5812882|-0.04773244|-0.5044949|0.019007236|-0.43529767|-0.64342225|0.084834516|-0.5178481|0.5061492|-0.38162816|0.2221084|-0.11451016|0.39495873|-0.2456998|-0.02342242|-0.26298222|-0.4333101|-0.4599051|0.07751936|0.3663682|0.086928844|-0.17198238|-0.40992662|0.7444049|-0.62661386|-0.55946535|-0.60112345|0.2032825|-0.34019053|0.14072348|-0.23220295|-0.6673006|0.5708234|-0.6297958|-0.232006|-0.21162459|-0.599332|-1.0118383|0.2131453|-0.14712295|0.34467244|0.24698678|-0.4147982|0.74349046|-0.62030494|0.5860747|0.33049345|-0.37464926|-0.90055263
436;-0.23685107|0.42585573|0.04075116|0.6798177|-0.4143993|0.1821429|-0.25364187|-0.070638895|0.50266325|-0.4700125|-0.0983865|0.28882217|0.258622|-0.27147573|0.09564465|0.27867994|-0.3086787|0.43583757|0.7475596|-0.0833485|0.026029889|-0.66251636|0.29384238|-0.09809971|-0.22080319|0.16312188|-0.18890043|0.08304615|-0.3976442|-0.028692454|0.07761005|0.14298898|0.69010925|-0.14612427|-0.061908923|0.23786119|-0.007258646|0.2537812|0.33341002|-0.41755188|-0.15221481|0.29187927|-0.25900108|-0.30337238|0.5853157|-0.024380207|-0.13474467|-0.5319843|0.44411534|0.33080214|0.17361721|-0.64747|-0.17402962|-0.27473077|-0.31013638|0.22367875|-0.6233506|-0.069494456|-0.17992954|0.43826416|-0.55899996|-0.087668866|-0.26119962|0.03601274|-0.24724925|-0.41761535|0.2602844|-0.36876887|-0.4559705|0.025331493|0.5109089|-0.47916055|0.09790546|-0.22579151|0.17255744|-0.5691851|-0.28225234|-0.3373103|-0.027265001|-0.39252266|0.32358485|-0.35354286|-0.33511856|0.50330764|-0.5341778|-0.29475975|-0.31129098|-0.19314136|-0.49346346|-0.064681485|-0.4948392|0.22491789|-0.057093814|-0.37513927|0.031558454|-0.24890068|0.31737146|0.41928202|-0.50051236|-0.35252374
437;-0.43279052|0.2809107|0.14768328|0.5510288|-0.3729473|0.08548416|-0.22103035|-0.17661256|0.4013461|-0.450702|-0.2214312|0.29565176|0.53989327|-0.25626275|0.15796773|0.23473316|0.015098363|0.48135063|0.66137505|0.049698897|0.07543048|-0.6899553|0.2996245|-0.02703774|-0.2681672|0.17491062|-0.07415671|-0.015671015|-0.60704064|-0.08950734|0.04338406|0.19327588|0.6487613|-0.18672696|-0.1631616|0.26377374|-0.16539383|0.22411187|0.31416205|-0.3643525|-0.16677366|0.25629497|-0.18881586|-0.2961126|0.62714344|0.04392761|-0.2543726|-0.6413826|0.29210174|0.3566891|0.2690992|-0.49532607|-0.15583037|-0.26438376|-0.38437387|0.15234011|-0.54005164|-0.07727556|-0.19774446|0.45369154|-0.66862774|-0.007547587|-0.49506634|0.061185457|-0.2888563|-0.34874552|0.26889282|-0.35549042|-0.5158385|0.09380099|0.39842856|-0.5639344|0.08348731|-0.18764621|0.2291152|-0.41860074|-0.3546428|-0.45604444|-0.06654532|-0.4821409|0.36027429|-0.31238738|-0.45241535|0.6478243|-0.52285355|-0.22583708|-0.17321032|-0.29246226|-0.4551276|0.035699755|-0.40097547|0.099517964|0.0968069|-0.399118|0.17007098|-0.34580973|0.31208235|0.35511532|-0.3756064|-0.37689313
438;-0.29321387|0.38651764|0.15163848|0.6466411|-0.32180756|0.24484|-0.14577857|-0.07307596|0.4814973|-0.49363542|-0.07903975|0.2747697|0.23953713|-0.17786261|0.12934938|0.24518624|-0.22439042|0.35857072|0.5698524|-0.05644105|0.12941803|-0.62621677|0.3497697|-0.06844592|-0.17237675|0.17694227|-0.13008322|0.0501958|-0.48645744|-0.090206996|0.2025051|0.12088171|0.6619622|-0.042712525|-0.009968236|0.230106|0.08443484|0.33810022|0.22630249|-0.46505526|-0.084394515|0.22874926|-0.21611921|-0.30846286|0.5382895|-0.031677067|-0.255647|-0.6766534|0.38643324|0.286009|0.16848095|-0.61738735|-0.1366275|-0.25330725|-0.26131082|0.19116071|-0.5521847|-0.20855482|-0.26389977|0.38846317|-0.6842858|-0.20973371|-0.37287542|0.034828946|-0.24148157|-0.4196164|0.22437572|-0.23201518|-0.4248276|-0.059870504|0.49787503|-0.40029812|0.1373371|-0.24169952|0.11756337|-0.50818163|-0.24200559|-0.45861542|0.010149338|-0.39527383|0.31316933|-0.28908074|-0.37371027|0.5707562|-0.51512706|-0.301556|-0.3153313|-0.12661433|-0.49789968|0.0026190542|-0.47549838|0.16507278|0.012109056|-0.3311246|0.03206864|-0.24978414|0.22752821|0.4169026|-0.48279262|-0.28127077
439;-0.12978548|0.47622326|0.11132155|0.41684297|-0.32765162|0.33226997|-0.31590894|-0.030664299|0.16020355|-0.45988858|-0.561964|0.11798711|0.452442|-0.14141527|0.3443931|0.071955666|-0.25809002|0.8468846|0.624151|-0.007011935|0.1195589|-0.3848977|0.37047714|-0.88406|-0.61626107|0.13317388|-0.32606792|-0.50296956|-0.63678694|-0.38557872|-0.04047829|0.393943|0.79487884|-0.015256643|-0.06604541|0.6075295|-0.08351961|0.35308483|0.1542638|-0.60879755|-0.22382665|0.08752429|-0.471376|-0.32954353|0.7936504|0.24105369|-0.20790616|-0.7127603|0.15592997|0.2422587|0.15069878|-0.6292844|-0.18221822|-0.12387088|-0.26629013|0.1353843|-0.49234518|-0.031976875|-0.41231716|0.5124935|-0.6746752|-0.47188598|-0.27033362|0.06172479|-0.19767879|-0.5980701|0.32818925|0.07425597|-0.7461939|0.011534801|0.33132413|-0.55257404|-0.0005107522|0.11291191|0.47647217|-0.85751677|-0.5559421|-0.45022306|0.17447095|-0.6009446|0.32679957|-0.43698725|-0.35873717|0.46252543|-0.33676308|-0.12467462|-0.033368737|-0.029615283|-0.91944456|0.0931918|-0.2550055|-0.14397599|0.3955472|-0.6133512|0.020188123|-0.123023376|0.38659012|0.3682146|-0.17725646|-0.5042449
440;-0.250919|-0.008217186|-0.20165887|0.39356124|-0.19424114|0.170138|-0.5393444|-0.52729034|0.068718225|-0.007155195|-0.44066036|0.53633165|0.30496374|-0.31868547|0.48965418|-0.015707731|-0.069648735|0.86125445|0.49326915|0.35659012|0.010969795|-0.30439335|0.40599978|0.24493471|-0.53003216|0.45497364|-0.10419869|0.22150226|-0.09237754|-0.3154976|-0.062168077|-0.11071193|0.817511|-0.057656035|-0.28472918|0.6002861|-0.24326108|0.3201288|-0.49261206|0.23596963|0.2737103|-0.22093922|-0.40527838|-0.50704205|0.26407686|0.34425956|-0.4386928|-0.80322444|0.5773488|0.30610442|0.059456944|-0.60854703|-0.19728488|0.22681326|-0.1580346|0.11309789|-0.60811824|0.21300569|-0.53243196|-0.24667147|-0.43818426|0.005983576|-0.045428455|-0.122927204|-0.07713814|0.051205903|0.07441341|-0.61491716|-0.25382102|-0.15673713|0.55377734|-0.35808367|-0.1782108|-0.47245654|0.068026036|-0.7894735|-0.028266907|-0.2725519|0.3022752|-0.36773705|0.633594|-0.6171389|0.36352453|0.59902525|-0.45202225|-0.29128948|-0.3201743|-0.2201131|-0.04347378|0.16034499|-0.03524369|0.11264813|0.48278132|-0.37564114|0.02714543|-0.2684579|-0.024612963|0.107823014|-0.5340496|-0.011105984
441;-0.33236766|0.32338578|0.113090605|0.68669796|-0.3392219|0.2161529|-0.22701684|-0.050991684|0.54281324|-0.5009961|-0.09353742|0.31366265|0.32414585|-0.2361446|0.081971005|0.24296972|-0.19139561|0.42943212|0.6505543|0.027160382|0.066976756|-0.69195485|0.21084893|-0.093407065|-0.2920891|0.2825913|-0.15055344|0.015455872|-0.48329514|-0.053849846|0.23376495|0.14152613|0.7785348|-0.056991473|-0.0919576|0.18483396|-0.014371432|0.29541495|0.27332753|-0.49467015|-0.06774221|0.20355952|-0.20983504|-0.32502565|0.5869203|-0.015092567|-0.15412538|-0.5737331|0.3357932|0.31450504|0.17718439|-0.6138594|-0.15128177|-0.31695637|-0.2853768|0.1916413|-0.5328817|-0.17891736|-0.17581101|0.42578208|-0.63935125|-0.060225546|-0.35237554|0.1361734|-0.23326856|-0.36586404|0.28329992|-0.30946183|-0.5120827|0.008781675|0.5304905|-0.5469795|0.16085134|-0.25766295|0.16993104|-0.6319|-0.21029317|-0.39015305|0.00031390507|-0.312222|0.39706567|-0.35021132|-0.4309222|0.50569|-0.6047916|-0.43977255|-0.28631905|-0.16682607|-0.5244313|0.053681605|-0.55078197|0.1915859|0.031208426|-0.4468158|0.06617969|-0.2302911|0.32846048|0.3354173|-0.49457872|-0.438343
442;0.4402049|0.5651657|-0.10531339|0.38961202|-0.42504233|0.08053449|-0.47851706|0.2870298|0.6664006|-0.31590167|-0.19821584|0.9428221|0.44885144|-0.5441878|0.6409054|0.43484023|-0.50400627|0.38584816|0.7971318|-0.025049377|0.5049756|-0.5858317|0.4573707|-0.85383767|-0.4685074|0.08727695|0.032269314|0.27507788|-0.3785637|-0.76312923|0.2805882|0.59552455|0.76859635|0.18002342|0.17409143|0.29705116|-0.19469145|0.03156686|0.7909082|0.15643135|-0.019859344|0.19941305|-0.4080263|-0.646288|0.59133154|0.3658921|0.3272566|-0.54687136|-0.14563403|0.16461056|0.7881015|-0.92764735|-0.34250763|-0.21005538|-0.6100432|0.069220394|-0.34323516|0.18811832|-2.4020672e-05|0.04656741|-0.34459674|0.16537216|-0.6926155|0.6412079|0.30184412|-0.59588003|0.39299202|-0.2226705|-0.5750499|-0.34733358|0.32661933|-0.97272074|0.08913273|-0.023667544|0.5743884|-0.5550412|-0.37669152|-0.60404503|0.21025884|-0.16045249|0.1996536|0.12891632|-0.6433961|0.2342965|-0.44156307|-0.0023521185|-0.33301723|-0.5813923|-0.7529901|-0.20353837|-0.33105394|0.18349269|0.2696423|-0.8888813|0.30506217|-0.04245925|-0.14014405|0.5773271|0.11888784|-0.79404736
443;-0.4363885|0.407929|0.033863902|0.6192374|0.043121606|0.051692948|-0.5043554|-0.1434308|0.33877516|-0.49447978|-0.21200597|0.3489057|0.40843728|-0.27293703|0.2951783|0.3141153|0.35735637|0.4028102|0.5605235|-0.09401116|-0.0361405|-0.49527022|0.30220175|-0.43227088|-0.002435416|-0.23311813|-0.33311316|-0.19476081|-0.042651087|-0.1018548|-0.004729435|0.6864306|0.08816835|-0.25662172|-0.14958684|-0.07989526|0.044745132|0.87462044|0.2504751|-0.6998451|0.16027263|0.43454415|-0.019122154|-0.51902884|0.3023551|0.09793792|-0.42442226|-0.37247798|0.6374903|0.36922532|0.28962487|-0.53500235|-0.107704155|-0.25564975|0.2653917|0.118502006|-0.54016495|0.24112111|-0.13251749|0.4571274|-0.755656|-0.23250571|-0.107817054|0.2080802|-0.4031764|-0.5559871|0.058570232|-0.41847992|-0.4379671|0.2129617|0.36987957|-0.38588437|-0.32057637|-0.308119|0.48681235|-0.3953907|-0.29271132|-0.107758164|-0.40641344|-0.113379836|0.23527241|-0.25849986|0.13175118|0.6286043|-1.2277215|-0.043166816|-0.5317316|-0.59830296|-0.4011578|-0.012154125|-0.2465673|0.12499084|0.14997508|-0.22421165|0.2500963|-0.06117469|0.521001|0.50887215|-0.03737721|-0.54474777
444;-0.19604972|0.11044952|0.25178766|0.41581646|-0.28340143|0.4603064|-0.44175002|-0.31884396|0.00077080727|-0.36160275|0.08189502|0.47543043|0.2979446|-0.28839147|0.13498934|0.15503094|-0.25125706|0.67980105|0.37459677|0.019831734|0.10606231|-0.38275942|0.6919374|0.1878554|-0.051987484|0.18696283|0.07276675|0.08464207|-0.20519587|-0.22893615|0.075485036|0.36474|0.4017538|-0.17556179|-0.67464507|0.4432609|-0.15823361|0.45630124|-0.23487855|-0.72586894|-0.16254607|0.493696|-0.11584071|-0.29855305|0.6478262|0.23364578|-0.047586173|-0.2645616|0.5706837|0.23179601|0.12573618|-0.30563366|-0.5122346|0.48372787|-0.085538805|0.06786039|-0.6219869|0.04550761|-0.2438191|0.5538011|-0.35410208|-0.21605854|-0.054137826|0.37489003|-0.17721273|-0.5486819|0.33176064|-0.28378808|-0.13325267|0.23394613|0.4549734|-0.1717672|-0.10278451|-0.1653018|0.4929237|-0.546903|-0.20889303|0.021514624|-0.20992182|-0.4606387|0.12427352|-0.33743206|-0.25922403|0.35228962|-0.598856|-0.41807914|-0.36037904|-0.21557374|-0.68272024|-0.018086309|-0.35297197|0.49595958|-0.03954281|-0.32083753|0.03715588|-0.262522|0.07524586|-0.15694773|-0.5110837|-0.5813335
445;0.043108582|0.471378|0.34735864|0.39215654|-0.36572096|0.35065684|-0.27214405|-0.117607385|0.6148924|-0.24287763|-0.14089969|0.5471258|0.31420243|0.0011249706|0.48426488|0.10781546|-0.48958093|0.42099676|0.3265115|-0.28834212|0.015248828|-0.74417853|0.33494663|-0.2124104|-0.43775645|-0.08235365|-0.49521497|-0.3200635|-0.078887165|-0.39303|0.47181213|0.09173207|0.48626238|-0.19036412|0.10379908|0.23516783|-0.14247784|0.27938217|0.25080752|-0.24018331|-0.1264429|0.19201924|-0.21625724|-0.35948044|0.33132002|-0.12090777|-0.24246135|-0.67593217|0.51291203|0.41328683|0.38156676|-0.605853|0.20087487|-0.19156307|0.103236705|0.22420675|-0.53292215|-0.2885154|-0.4992454|0.25647664|-0.5064063|-0.32599324|-0.6586801|0.29292887|-0.1329562|-0.14677653|0.38642508|-0.24666505|-0.126641|-0.07251786|0.54375124|-0.5986381|0.13821709|0.046920806|0.40315348|-0.67107874|-0.58083206|-0.54235077|0.07638006|-0.23385021|0.5205085|-0.3614686|-0.59124213|-0.012808114|-0.54610956|-0.2716582|-0.13496944|-0.108284295|-0.28510088|0.048752375|-0.37169454|0.3479265|0.16159126|-0.42790183|0.0069437325|-0.62785614|0.14162743|0.5922909|-0.34160227|-0.38082185
446;-0.704606|0.815948|0.42523664|0.48277828|-0.40787545|-0.03043034|-0.51195955|-0.46246246|0.5532213|-0.20713393|-0.28681743|0.2659262|0.6859038|0.098129824|0.29545027|0.61032856|-0.56138396|0.35182095|0.8665689|-0.14863266|0.055306446|-0.7842202|0.3679923|-0.8569367|-0.24196696|0.3994636|-0.5558053|0.43096137|-0.34425318|-0.4006381|-0.29195106|0.38995457|0.31521976|0.23770411|0.3798418|0.6643361|-0.29464018|-0.1864914|0.43324006|-0.4095595|0.2017776|0.11734244|-0.5065662|-0.879611|1.0322461|0.91063327|-0.3814489|0.040035784|0.2861313|0.685283|0.0032187551|-0.67896414|-0.26679853|-0.546638|-0.52346694|0.49852946|-0.54345|0.1537367|-0.21693993|0.43547627|-0.5453717|0.12794057|-0.47366232|-0.1265295|0.054855958|-0.290748|0.42711183|-0.32661727|-0.11558309|0.019734863|0.44177842|-0.4056567|-0.3368208|-0.41542867|0.18121484|-0.6691356|0.09220876|-0.5458325|-0.58039385|-0.44652715|0.83649683|0.08164403|-0.5022273|0.36864275|-0.54862314|0.31625736|-0.12277427|-0.46122152|0.1117599|0.4197021|-1.1411271|0.05447997|-0.47455457|-0.4285222|-0.063881665|-0.33383697|0.23002225|0.15785374|-0.3666501|-0.77204263
447;-0.36645326|0.3883433|0.1390922|0.18516883|-0.7489027|0.17547823|-0.22219785|-0.28909495|1.004467|-0.088536695|-0.38953292|0.30208462|0.35083696|-0.332233|0.36807638|0.54714334|0.15333726|0.65926474|0.07753682|0.52193403|-0.108753875|-0.10191408|0.1866633|-0.12559336|-0.45670652|-0.15400599|-0.25799006|-0.6085005|-0.45436424|-0.2348615|0.15945844|0.03359078|0.16570595|-0.42358333|-0.14888933|0.24973682|0.1386775|0.08116931|0.27828455|-0.14542526|-0.48040777|-0.19429407|-0.3643731|-0.3426245|0.35331717|-0.12996717|-0.88529515|-0.6793194|0.21876529|0.71128917|-0.05088699|-0.20110995|0.10409636|-0.8920257|-0.14256881|0.056416936|-0.14112869|-0.25173247|-0.27955574|0.29804862|-1.0829372|0.04269086|-0.8152299|0.3992512|-0.361567|-0.1212253|-0.029644348|-0.5841335|-0.64652014|-0.24768674|0.8126278|-0.63975555|0.035770155|-0.06411421|-0.1369119|-0.53434515|-0.15774454|-0.5199601|-0.23308069|-0.61847955|0.48744556|-0.6255548|-0.48480052|0.27865148|-0.3555657|0.16703647|-0.100066096|-0.5666447|-0.72463375|-0.31639785|-0.7750342|0.35577652|0.22901814|-0.1432131|0.1899202|-0.54839575|0.5724186|0.17738733|-0.4984733|-0.1903715
